# GRAPHICS.PAK resource catalog
# Source: @react95/icons 2.5.3
# Entries: 975
# name,width,height,source
Mplayer13,32,32,Mplayer13_32x32_4.png
Mplayer14,32,32,Mplayer14_32x32_4.png
Mplayer15,32,32,Mplayer15_32x32_4.png
Mplayer16,32,32,Mplayer16_32x32_4.png
Mprserv120,48,48,Mprserv120_48x48_4.png
Mprserv121,48,48,Mprserv121_48x48_4.png
Mprserv68,32,32,Mprserv68_32x32_4.png
Msacm3210,32,32,Msacm3210_32x32_4.png
MsawtAwtIcon,32,32,MsawtAwtIcon_32x32_4.png
MsDos,32,32,MsDos_32x32_32.png
Msfs321951,32,32,Msfs321951_32x32_4.png
Mshearts1,32,32,Mshearts1_32x32_4.png
Mshtml32528,32,32,Mshtml32528_32x32_8.png
Mshtml32529,32,32,Mshtml32529_32x32_4.png
Mshtml32534,32,32,Mshtml32534_32x32_4.png
Mshtml32535,32,32,Mshtml32535_32x32_4.png
Mshtml32536,32,32,Mshtml32536_32x32_4.png
Mshtml32537,32,32,Mshtml32537_32x32_4.png
Mshtml32538,32,32,Mshtml32538_32x32_4.png
Mshtml32539,32,32,Mshtml32539_32x32_4.png
Mshtml32540,32,32,Mshtml32540_32x32_4.png
Mshtml32541,32,32,Mshtml32541_32x32_4.png
Mshtml32542,32,32,Mshtml32542_32x32_4.png
Mshtml32543,32,32,Mshtml32543_32x32_4.png
Mshtml32544,16,16,Mshtml32544_16x16_4.png
Mshtml32545,16,16,Mshtml32545_16x16_4.png
Mshtml32546,32,32,Mshtml32546_32x32_4.png
Mshtml32547,32,32,Mshtml32547_32x32_4.png
Mshtml32548,32,32,Mshtml32548_32x32_4.png
Mshtml32549,32,32,Mshtml32549_32x32_4.png
Mshtml32550,32,32,Mshtml32550_32x32_4.png
Mshtml32551,32,32,Mshtml32551_32x32_4.png
Mshtml32552,32,32,Mshtml32552_32x32_4.png
Mshtml32553,32,32,Mshtml32553_32x32_4.png
Msnp32FolderIcon,32,32,Msnp32FolderIcon_32x32_4.png
Msnp32ServerIcon,32,32,Msnp32ServerIcon_32x32_4.png
Msnp32WrkgrpIcon,32,32,Msnp32WrkgrpIcon_32x32_4.png
